subject_id,session_id,run_id,trial_index,motion_direction,estimate_deg,prior_mean,prior_std,motion_coherence,prior_kappa_t,predicted_estimate_deg,p_observed,predicted_error_from_motion,observed_error_from_motion,fit_readout,model_simulated_estimate_deg,model_simulated_error_from_motion,model_simulated_is_lapse
10,4,17,12,225.0,254.16609801282107,225.0,20.0,0.06,7.708164310636902,225.0,0.0067450861522935,0.0,29.166098012821067,MAP,247.92825140766374,22.928251407663737,False
10,4,17,13,215.0,224.9012917657246,225.0,20.0,0.24,7.741494826474121,216.0,0.0096487317687084,1.0,9.901291765724608,MAP,251.09048004459777,36.09048004459777,False
10,4,17,14,235.0,204.97903162793276,225.0,20.0,0.06,7.774407427544117,230.0,0.0074663311722253,-5.0,-30.020968372067276,MAP,196.71791782924538,-38.28208217075462,False
10,4,17,15,235.0,232.82355190351672,225.0,20.0,0.24,7.806907353872383,234.0,0.010017687780029,-1.0,-2.176448096483284,MAP,236.53286374111732,1.5328637411173247,False
10,4,17,16,185.0,230.48890245933035,225.0,20.0,0.12,7.838999779782337,200.0,0.0065120580095362,15.0,45.48890245933035,MAP,198.58338084409314,13.583380844093142,False
10,4,17,17,215.0,236.8353969011938,225.0,20.0,0.12,7.870689814719127,219.0,0.0086128321387152,4.0,21.835396901193803,MAP,197.12398171447327,-17.876018285526726,False
10,4,17,18,175.0,241.8973434331656,225.0,20.0,0.12,7.901982504063111,193.0,0.0035806118204145,18.0,66.89734343316562,MAP,114.67824890181583,-60.321751098184166,False
10,4,17,19,235.0,221.73791537619064,225.0,20.0,0.06,7.93288282993313,230.0,0.0096997466004262,-5.0,-13.262084623809358,MAP,297.3431551625916,62.343155162591586,False
10,4,17,21,225.0,206.7300187110725,225.0,20.0,0.06,7.993526008168337,225.0,0.0085495322414858,0.0,-18.26998128892751,MAP,342.2358235910852,117.2358235910852,True
10,4,17,22,225.0,230.8314485686348,225.0,20.0,0.24,8.023278515552867,225.0,0.0098610949141703,0.0,5.831448568634755,MAP,235.9335052391629,10.933505239162912,False
10,4,17,23,215.0,229.74976037386773,225.0,20.0,0.12,8.05265797103929,219.0,0.0094820672807868,4.0,14.74976037386773,MAP,320.23051428156,105.23051428155998,True
10,4,17,24,225.0,233.5824356517745,225.0,20.0,0.24,8.08166905213989,225.0,0.0096746148886155,0.0,8.58243565177446,MAP,246.7015325249459,21.70153252494589,False
10,4,17,25,215.0,209.98297996049183,225.0,20.0,0.24,8.110316377717947,216.0,0.0098506443613853,1.0,-5.017020039508168,MAP,113.17383414706535,-101.82616585293465,True
10,4,17,26,185.0,129.16214968026208,225.0,20.0,0.06,8.138604508723109,207.0,0.0012967103220646,22.0,-55.837850319737925,MAP,221.61473799696887,36.61473799696887,False
10,4,18,1,215.0,222.3953692668862,225.0,80.0,0.24,3.371885671909907,215.0,0.0097632898844452,0.0,7.395369266886206,MAP,203.14446450644775,-11.855535493552253,False
10,4,18,2,15.0,284.74186370874963,225.0,80.0,0.12,3.331531483054555,6.0,0.0011808058064089,-9.0,-90.25813629125037,MAP,306.87436120141496,-68.12563879858504,True
10,4,18,3,295.0,162.82750023607568,225.0,80.0,0.06,3.2916832753104552,273.0,0.0007527691697803,-22.0,-132.17249976392432,MAP,63.62702483639347,128.6270248363935,True
10,4,18,4,85.0,44.65227884886443,225.0,80.0,0.12,3.252334704432012,96.0,0.0032719727590429,11.0,-40.34772115113557,MAP,87.24310716107496,2.2431071610749598,False
10,4,18,5,315.0,345.06071982269987,225.0,80.0,0.06,3.213479505720969,289.0,0.0027443938850161,-26.0,30.060719822699863,MAP,286.99754855091,-28.002451449090017,False
10,4,18,6,285.0,227.4111625971222,225.0,80.0,0.06,3.1751114930290094,266.0,0.005116820848353,-19.0,-57.5888374028778,MAP,252.1354646061098,-32.86453539389021,False
10,4,18,7,135.0,78.4849541267713,225.0,80.0,0.06,3.1372245577728526,160.0,0.0011729547743745,25.0,-56.5150458732287,MAP,29.97847199291758,-105.02152800708242,True
10,4,18,8,265.0,338.2517345401472,225.0,80.0,0.06,3.0998126679617077,253.0,0.0010707693420514,-12.0,73.2517345401472,MAP,235.39970016110524,-29.600299838894756,True
10,4,18,9,275.0,262.08046148549494,225.0,80.0,0.24,3.0628698672369152,274.0,0.0093625401194096,-1.0,-12.919538514505064,MAP,247.09587792073435,-27.904122079265647,False
10,4,18,10,135.0,116.24778620758808,225.0,80.0,0.12,3.0263902739236395,148.0,0.0062896238796698,13.0,-18.752213792411908,MAP,155.0000235032463,20.000023503246297,False
10,4,18,11,345.0,354.32157773723713,225.0,80.0,0.24,2.9903680800944383,343.0,0.0094249571543488,-2.0,9.321577737237137,MAP,32.03834456266954,47.03834456266952,False
10,4,18,12,235.0,238.66412384654157,225.0,80.0,0.24,2.9547975506445856,235.0,0.0099595461072208,0.0,3.664123846541543,MAP,166.71463662384102,-68.28536337615898,True
10,4,18,13,265.0,110.23988954247012,225.0,80.0,0.12,2.9196730223789813,258.0,0.0006733962667185,-7.0,-154.7601104575299,MAP,300.85603361392833,35.85603361392833,False
10,4,18,14,335.0,306.31762940467814,225.0,80.0,0.24,2.8849889031105143,333.0,0.0071799283645524,-2.0,-28.682370595321856,MAP,303.8375674609181,-31.16243253908192,False
10,4,18,15,145.0,128.16609801282107,225.0,80.0,0.06,2.850739670769725,167.0,0.0050764558577307,22.0,-16.833901987178933,MAP,211.61570335582095,66.61570335582095,False
10,4,18,16,65.0,78.39931759944523,225.0,80.0,0.06,2.816919872525641,79.0,0.0100226465422604,14.0,13.399317599445226,MAP,85.03446681569284,20.034466815692838,False
10,4,18,17,225.0,264.64833051630546,225.0,80.0,0.12,2.783524123917624,225.0,0.0049434276141613,0.0,39.64833051630546,MAP,252.6422504399025,27.64225043990251,False
10,4,18,18,25.0,45.73791537619067,225.0,80.0,0.06,2.7505471079981105,12.0,0.0059419590231619,-13.0,20.73791537619067,MAP,67.34843602126493,42.348436021264945,True
10,4,18,19,125.0,135.57059065409734,225.0,80.0,0.06,2.7179835744861003,148.0,0.0093071940391099,23.0,10.570590654097344,MAP,144.74390296686934,19.743902966869342,False
10,4,18,20,175.0,248.0646681552589,225.0,80.0,0.06,2.685828338931256,189.0,0.0024528469357047,14.0,73.06466815525891,MAP,164.4438845647134,-10.556115435286614,False
10,4,18,21,235.0,18.48890245933033,225.0,80.0,0.06,2.6540762818884844,232.0,0.0006741352501642,-3.0,143.48890245933035,MAP,236.72323581286693,1.7232358128669318,True
10,4,18,22,255.0,273.5824356517745,225.0,80.0,0.06,2.6227223481028714,247.0,0.0071972845756195,-8.0,18.58243565177452,MAP,254.52187466404246,-0.47812533595754303,False
10,4,18,23,185.0,153.59033231689244,225.0,80.0,0.06,2.5917615457048284,196.0,0.0045064444122132,11.0,-31.40966768310756,MAP,206.98638451229002,21.986384512290016,False
10,4,18,24,245.0,216.48495412677136,225.0,80.0,0.24,2.56118894541534,245.0,0.0068595631945062,0.0,-28.515045873228612,MAP,281.84901791393037,36.84901791393037,False
10,4,18,25,285.0,42.82355190351655,225.0,80.0,0.06,2.530999679761167,269.0,0.0006854976501183,-16.0,117.82355190351656,MAP,245.70972185894672,-39.29027814105328,True
10,4,18,26,335.0,295.150304682585,225.0,80.0,0.06,2.5011889422999007,313.0,0.0086107649650302,-22.0,-39.84969531741501,MAP,175.0723095123122,-159.9276904876878,True
10,4,19,1,275.0,284.90129176572475,225.0,40.0,0.06,16.283899367024535,239.0,0.003989257070719,-36.0,9.90129176572475,MAP,241.03773341321397,-33.96226658678603,False
10,4,19,2,205.0,237.9170850959609,225.0,40.0,0.06,16.37696215445681,219.0,0.0084535277257963,14.0,32.917085095960914,MAP,201.24944738426132,-3.750552615738684,False
10,4,19,3,225.0,228.16609801282092,225.0,40.0,0.24,16.468858073865295,225.0,0.0099759300005086,0.0,3.166098012820953,MAP,252.49112007935145,27.491120079351447,False
10,4,19,4,195.0,343.07651315293595,225.0,40.0,0.12,16.559601756028012,212.0,0.000689302790746,17.0,148.07651315293597,MAP,192.62105016608353,-2.378949833916465,False
10,4,19,5,225.0,212.98297996049183,225.0,40.0,0.12,16.649207648274935,225.0,0.0093521081648324,0.0,-12.01702003950814,MAP,226.0307575703933,1.0307575703932912,False
10,4,19,6,185.0,125.33737106747328,225.0,40.0,0.06,16.737690016788136,214.0,0.0009948618477696,29.0,-59.66262893252672,MAP,64.0044993656065,-120.9955006343935,True
10,4,19,7,195.0,201.5863839843335,225.0,40.0,0.06,16.82506294887314,217.0,0.0089465841552482,22.0,6.586383984333509,MAP,253.7941232954358,58.79412329543581,False
10,4,19,8,255.0,237.83934523375277,225.0,40.0,0.06,16.91134035520174,233.0,0.0099115954166214,-22.0,-17.160654766247262,MAP,233.4786969181626,-21.521303081837402,False
10,4,19,9,225.0,256.6641238465416,225.0,40.0,0.06,16.996535972026738,225.0,0.0063051148999218,0.0,31.6641238465416,MAP,230.71552990135038,5.715529901350379,False
10,4,19,10,245.0,208.8156552383984,225.0,40.0,0.12,17.08066336336889,234.0,0.0074383932454015,-11.0,-36.18434476160158,MAP,267.6461069019711,22.64610690197111,False
10,4,19,11,205.0,206.2556828727063,225.0,40.0,0.12,17.163735923176432,216.0,0.0095761899947606,11.0,1.255682872706302,MAP,168.15494458932218,-36.845055410677816,True
10,4,19,12,245.0,228.90524009828383,225.0,40.0,0.24,17.24576687745755,242.0,0.0092321101689918,-3.0,-16.094759901716145,MAP,243.75477868315835,-1.2452213168416506,False
10,4,19,13,255.0,235.3334227349142,225.0,40.0,0.12,17.326769286386096,238.0,0.0099899882331079,-17.0,-19.66657726508581,MAP,191.4386792369998,-63.5613207630002,True
10,4,19,14,305.0,305.6443821837464,225.0,40.0,0.12,17.406756046380874,259.0,0.003884768729299,-46.0,0.6443821837463588,MAP,293.48998280554576,-11.510017194454235,False
10,4,19,15,195.0,229.15820134770303,225.0,40.0,0.12,17.48573989215892,212.0,0.0087094938631105,17.0,34.15820134770303,MAP,150.233733264474,-44.76626673552599,True
10,4,19,16,215.0,215.41116259712223,225.0,40.0,0.12,17.563733398762988,221.0,0.0098742825198436,6.0,0.4111625971222281,MAP,211.26136394265362,-3.7386360573463833,False
10,4,19,17,275.0,220.39536926688612,225.0,40.0,0.24,17.640748983563608,268.0,0.0037527829039497,-7.0,-54.60463073311385,MAP,331.5212813355682,56.521281335568176,False
10,4,19,18,185.0,225.5626939889794,225.0,40.0,0.12,17.716798908236083,208.0,0.0086520522778638,23.0,40.56269398897939,MAP,187.2100616986491,2.210061698649099,False
10,4,19,19,245.0,231.39536926688623,225.0,40.0,0.06,17.791895280712666,230.0,0.010014960433523,-15.0,-13.604630733113764,MAP,238.72457194419695,-6.275428055803047,False
10,4,19,20,175.0,233.07256482037693,225.0,40.0,0.12,17.866050057110268,204.0,0.0067615458327325,29.0,58.07256482037696,MAP,164.01831252303958,-10.981687476960417,True
10,4,19,21,265.0,236.0725648203769,225.0,40.0,0.06,17.93927504363399,235.0,0.0100188197849766,-30.0,-28.927435179623103,MAP,211.0751382027161,-53.92486179728391,False
10,4,19,22,225.0,258.90918843084273,225.0,40.0,0.06,18.0115818984568,225.0,0.0059121547086279,0.0,33.90918843084273,MAP,263.2675284830847,38.267528483084675,False
10,4,19,23,255.0,220.0725648203769,225.0,40.0,0.06,18.082982133575623,233.0,0.0092512924352909,-22.0,-34.9274351796231,MAP,263.617706743568,8.617706743568021,False
10,4,19,24,215.0,230.48100579421236,225.0,40.0,0.06,18.1534871166442,222.0,0.0096826671652161,7.0,15.481005794212336,MAP,229.1509039413431,14.150903941343103,False
