model,label,subject,n_trials,nll,aic,bic,cv_nll,cv_per_trial
hierarchical_online,Hier-Online,3,9412,43211.491624192684,86438.98324838537,86496.18117438414,,
recombined,Recombined,3,9412,43054.80880898286,86123.61761796572,86173.66580321465,,
switch,Switch,3,9412,41728.758457899276,83475.51691579855,83539.86458254718,42104.90631065381,4.473534457145538
basic_bayes,Basic-Bayes,4,4801,23186.493973318742,46390.987946637484,46449.27716221426,23311.118751696955,4.855471516704219
hb_adaptive,HB-Adaptive,4,4801,23089.918898424567,46191.83779684913,46230.69727390032,23152.22611493741,4.822375778991337
hb_rachel,HB-Rachel,4,4801,23111.630822109255,46237.26164421851,46282.59770077823,23160.58841433168,4.824117561827053
hb_salma,HB-Salma,4,4801,23272.29719595811,46556.59439191622,46595.4538689674,23366.041441162008,4.86691136037534
hierarchical_online,Hier-Online,4,4801,23266.537317777023,46549.07463555405,46600.8872716223,,
recombined,Recombined,4,4801,23429.6689919178,46873.3379838356,46918.674040395315,,
switch,Switch,4,4801,23074.870787066524,46167.74157413305,46226.030789709825,23199.55421457483,4.832233746006005
basic_bayes,Basic-Bayes,5,5789,30981.474020583093,61980.948041166186,62040.921474762894,31220.894816270924,5.393141270732583
hb_adaptive,HB-Adaptive,5,5789,31332.410900782117,62676.821801564234,62716.804090628706,31557.36036200476,5.451262802211913
hb_rachel,HB-Rachel,5,5789,31082.282891973104,62178.56578394621,62225.21178785476,31192.08524859933,5.388164665503425
hb_salma,HB-Salma,5,5789,31387.464411594796,62786.92882318959,62826.91111225406,31649.273234201704,5.467139960995285
hierarchical_online,Hier-Online,5,5789,30885.12392492785,61786.2478498557,61839.55756860833,,
recombined,Recombined,5,5789,31912.781468296438,63839.562936592876,63886.20894050143,,
switch,Switch,5,5789,30864.838874716675,61747.67774943335,61807.65118303006,36270.66288511215,6.265445307499076
basic_bayes,Basic-Bayes,6,7553,37561.713967090946,75141.42793418189,75203.79523521071,37862.78889974174,5.012947027636931
hb_adaptive,HB-Adaptive,6,7553,37759.476906395015,75530.95381279003,75572.53201347591,38042.128513269476,5.036691184068513
hb_rachel,HB-Rachel,6,7553,37829.86436379299,75673.72872758599,75722.23662838618,38121.34451283861,5.047179202017557
hb_salma,HB-Salma,6,7553,37826.98097382186,75665.96194764372,75707.5401483296,38065.89190852316,5.0398374034851265
hierarchical_online,Hier-Online,6,7553,37660.15398992853,75336.30797985705,75391.74558077156,,
recombined,Recombined,6,7553,38210.90605934856,76435.81211869713,76484.32001949732,,
switch,Switch,6,7553,37569.35583772431,75156.71167544862,75219.07897647744,37897.572306459224,5.017552271476132
basic_bayes,Basic-Bayes,7,5797,27137.136426803212,54292.272853606424,54352.25871599848,27258.55230953435,4.7021825615895025
hb_adaptive,HB-Adaptive,7,5797,27132.046676751168,54276.093353502336,54316.08392843037,27304.88145191413,4.710174478508561
hb_rachel,HB-Rachel,7,5797,27196.57387098812,54407.14774197624,54453.80341272562,27340.64780572288,4.716344282512141
hb_salma,HB-Salma,7,5797,27311.523998664532,54635.047997329064,54675.0385722571,27411.064692629356,4.728491408078205
hierarchical_online,Hier-Online,7,5797,27142.633618721575,54301.26723744315,54354.588004013865,,
recombined,Recombined,7,5797,27317.92984461459,54649.85968922918,54696.51535997856,,
