model,model_label,subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,median_believed_sd,p25_believed_sd,p75_believed_sd,mean_believed_alpha
hb_adaptive,HB-Adaptive,4,0.24,80,middle,97,25.149962541221583,26.883590767509514,21.858549361631486,29.704568661622446,0.5216740934686495
hb_adaptive,HB-Adaptive,5,0.06,10,early,183,14.60619372050522,14.268056208559393,12.042284208636367,14.268056208559397,0.6144577621412869
hb_adaptive,HB-Adaptive,5,0.06,10,late,192,14.1028702199659,14.268056208559393,12.042284208636367,14.268056208559397,0.6193113974895351
hb_adaptive,HB-Adaptive,5,0.06,10,middle,160,14.01708525746887,14.268056208559393,12.042284208636367,14.268056208559397,0.6201704617343413
hb_adaptive,HB-Adaptive,5,0.06,20,early,178,17.567530395627468,14.268056208559397,14.268056208559393,20.829510799538838,0.5904506539731866
hb_adaptive,HB-Adaptive,5,0.06,20,late,177,17.903902379621105,14.268056208559397,14.268056208559393,20.829510799538838,0.5887107938076767
hb_adaptive,HB-Adaptive,5,0.06,20,middle,162,18.49277580753902,17.54878350404912,14.268056208559393,25.457104738487207,0.5838799645297104
hb_adaptive,HB-Adaptive,5,0.06,40,early,199,21.132909644705414,20.829510799538838,14.268056208559397,26.189305755280387,0.5502985754694945
hb_adaptive,HB-Adaptive,5,0.06,40,late,197,21.034455274838468,20.829510799538838,14.268056208559397,26.54564111613412,0.5528983290931591
hb_adaptive,HB-Adaptive,5,0.06,40,middle,204,21.283410391989218,25.457104738487207,14.268056208559397,26.54564111613412,0.5508887372432782
hb_adaptive,HB-Adaptive,5,0.06,80,early,386,23.61886592867432,25.457104738487207,24.593085256810163,26.54564111613412,0.5018363140032402
hb_adaptive,HB-Adaptive,5,0.06,80,late,414,23.09571957102945,25.32714649677449,20.829510799538838,26.189305755280387,0.5033106883969435
hb_adaptive,HB-Adaptive,5,0.06,80,middle,384,23.254406127541202,25.457104738487207,20.829510799538838,26.18930575528039,0.5047315618353574
hb_adaptive,HB-Adaptive,5,0.12,10,early,116,13.836937788926521,14.268056208559393,12.042284208636367,14.268056208559397,0.6210423017347078
hb_adaptive,HB-Adaptive,5,0.12,10,late,118,14.290071136179835,14.268056208559393,12.042284208636367,14.268056208559397,0.6176450072295896
hb_adaptive,HB-Adaptive,5,0.12,10,middle,134,13.761102670607253,14.268056208559393,12.042284208636367,14.268056208559397,0.6217435441255177
hb_adaptive,HB-Adaptive,5,0.12,20,early,120,17.20983368969694,14.268056208559397,14.268056208559393,20.829510799538838,0.5941851333456419
hb_adaptive,HB-Adaptive,5,0.12,20,late,126,17.108315053742196,14.268056208559397,14.268056208559393,20.829510799538838,0.5945640532047173
hb_adaptive,HB-Adaptive,5,0.12,20,middle,129,18.16082930649605,14.268056208559397,14.268056208559393,20.829510799538838,0.5864626445609817
hb_adaptive,HB-Adaptive,5,0.12,40,early,154,20.713871157384265,20.829510799538838,14.268056208559397,26.18930575528039,0.555341888038664
hb_adaptive,HB-Adaptive,5,0.12,40,late,155,21.760562015365473,25.457104738487207,14.268056208559397,26.54564111613413,0.5469344070899075
hb_adaptive,HB-Adaptive,5,0.12,40,middle,138,21.877285616038623,25.457104738487207,14.268056208559397,26.54564111613412,0.5429346230116607
hb_adaptive,HB-Adaptive,5,0.12,80,early,289,23.195509909256995,25.457104738487207,20.829510799538838,26.54564111613412,0.5067938929992659
