subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,mean_believed_alpha,median_believed_sd,median_believed_alpha
4,0.24,20,early,48,16.149845761885388,0.7881827028532533,15.5575504076231,0.8015526298125228
4,0.24,20,late,57,17.245901647788877,0.8168750467491555,16.487113073643677,0.8340379069710948
4,0.24,20,middle,60,17.140776878961734,0.7988145967922538,16.917870888822073,0.8257169941027571
4,0.24,40,early,55,22.901391218364378,0.6563213522292835,23.41097975522054,0.6739199167568763
4,0.24,40,late,52,22.49536260932744,0.6706732556265826,23.342720214890903,0.6795076398352838
4,0.24,40,middle,48,21.746594095131513,0.6733951365310401,22.35514822011129,0.6664069084863697
4,0.24,80,early,91,24.904396644401615,0.5401448665125801,28.027124179539868,0.5200538349303783
4,0.24,80,late,100,26.168335638747713,0.5130871794925782,27.624863163927095,0.4946603248732026
4,0.24,80,middle,97,25.149962541221583,0.5216740934686495,26.883590767509514,0.5105762385330999
5,0.06,10,early,183,14.60619372050522,0.6144577621412869,14.268056208559393,0.6151996191330658
5,0.06,10,late,192,14.1028702199659,0.6193113974895351,14.268056208559393,0.6151996191330658
5,0.06,10,middle,160,14.01708525746887,0.6201704617343414,14.268056208559393,0.6151996191330658
5,0.06,20,early,178,17.567530395627468,0.5904506539731866,14.268056208559397,0.6151996191330655
5,0.06,20,late,177,17.903902379621105,0.5887107938076767,14.268056208559397,0.6151996191330655
5,0.06,20,middle,162,18.49277580753902,0.5838799645297104,17.54878350404912,0.5921762132029822
5,0.06,40,early,199,21.132909644705414,0.5502985754694945,20.829510799538838,0.5691528072728989
5,0.06,40,late,197,21.034455274838468,0.5528983290931591,20.829510799538838,0.5691528072728989
5,0.06,40,middle,204,21.283410391989218,0.5508887372432782,25.457104738487207,0.5324515778305405
5,0.06,80,early,386,23.61886592867432,0.5018363140032402,25.457104738487207,0.48708299441194924
5,0.06,80,late,414,23.09571957102945,0.5033106883969436,25.32714649677449,0.48708299441194924
5,0.06,80,middle,384,23.254406127541202,0.5047315618353573,25.457104738487207,0.48708299441194924
