subject_id,session_id,run_id,n_trials,prior_std_values,n_prior_std_values,coherence_values,n_direction_values,first_trial_index,last_trial_index,first_motion_direction,last_motion_direction
7,6,24,204,20,1,0.06;0.12;0.24,11,1,204,205,245
7,6,25,202,40,1,0.06;0.12;0.24,19,1,202,175,235
7,6,26,221,10,1,0.06;0.12;0.24,5,1,221,225,215
7,6,27,226,80,1,0.06;0.12;0.24,36,1,226,235,145
8,1,1,207,40,1,0.06;0.12;0.24,19,1,207,275,275
8,1,2,215,20,1,0.06;0.12;0.24,11,1,215,195,225
8,1,3,215,80,1,0.06;0.12;0.24,31,1,215,165,205
8,1,4,213,10,1,0.06;0.12;0.24,5,1,213,225,235
8,2,5,213,10,1,0.06;0.12;0.24,5,1,213,225,215
8,2,6,215,80,1,0.06;0.12;0.24,31,1,215,65,265
8,2,7,215,80,1,0.06;0.12;0.24,31,1,215,205,225
8,2,8,215,20,1,0.06;0.12;0.24,11,1,215,215,175
8,3,9,207,40,1,0.06;0.12;0.24,19,1,207,205,215
8,3,10,215,80,1,0.06;0.12;0.24,31,1,215,95,175
8,3,11,215,20,1,0.06;0.12;0.24,11,1,215,185,245
8,3,12,215,80,1,0.06;0.12;0.24,31,1,215,295,195
8,4,13,226,80,1,0.06;0.12;0.24,36,1,226,315,195
8,4,14,226,80,1,0.06;0.12;0.24,36,1,226,205,95
8,4,15,204,20,1,0.06;0.12;0.24,11,1,204,245,215
8,4,16,202,40,1,0.06;0.12;0.24,19,1,202,285,245
8,4,17,221,10,1,0.06;0.12;0.24,5,1,221,215,235
8,5,18,221,10,1,0.06;0.12;0.24,5,1,221,235,225
8,5,19,202,40,1,0.06;0.12;0.24,19,1,202,265,165
8,5,20,226,80,1,0.06;0.12;0.24,36,1,226,295,345
8,5,21,204,20,1,0.06;0.12;0.24,11,1,204,235,245
8,5,22,226,80,1,0.06;0.12;0.24,36,1,226,245,85
8,6,23,204,20,1,0.06;0.12;0.24,11,1,204,225,255
8,6,24,226,80,1,0.06;0.12;0.24,36,1,226,125,25
8,6,25,202,40,1,0.06;0.12;0.24,19,1,202,235,155
8,6,26,226,80,1,0.06;0.12;0.24,36,1,226,205,185
8,6,27,221,10,1,0.06;0.12;0.24,5,1,221,225,225
9,1,1,221,10,1,0.06;0.12;0.24,5,1,221,215,235
9,1,2,204,20,1,0.06;0.12;0.24,11,1,204,225,255
9,1,3,226,80,1,0.06;0.12;0.24,36,1,226,225,195
9,1,4,226,80,1,0.06;0.12;0.24,36,1,226,295,25
9,1,5,202,40,1,0.06;0.12;0.24,19,1,202,215,225
9,2,6,226,80,1,0.06;0.12;0.24,36,1,226,185,5
9,2,7,204,20,1,0.06;0.12;0.24,11,1,204,215,195
9,2,8,221,10,1,0.06;0.12;0.24,5,1,221,215,235
9,2,9,226,80,1,0.06;0.12;0.24,36,1,226,255,125
9,2,10,202,40,1,0.06;0.12;0.24,19,1,202,205,215
9,3,11,221,10,1,0.06;0.12;0.24,5,1,221,235,235
9,3,12,226,80,1,0.06;0.12;0.24,36,1,226,285,245
9,3,13,226,80,1,0.06;0.12;0.24,36,1,226,15,205
9,3,14,202,40,1,0.06;0.12;0.24,19,1,202,215,215
9,3,15,204,20,1,0.06;0.12;0.24,11,1,204,205,205
9,4,16,202,40,1,0.06;0.12;0.24,19,1,202,225,265
9,4,17,204,20,1,0.06;0.12;0.24,11,1,204,245,245
9,4,18,226,80,1,0.06;0.12;0.24,36,1,226,175,285
9,4,19,226,80,1,0.06;0.12;0.24,36,1,226,225,105
9,4,20,221,10,1,0.06;0.12;0.24,5,1,221,235,225
9,5,21,204,20,1,0.06;0.12;0.24,11,1,204,195,195
9,5,22,226,80,1,0.06;0.12;0.24,36,1,226,185,285
9,5,23,221,10,1,0.06;0.12;0.24,5,1,221,215,205
9,5,24,226,80,1,0.06;0.12;0.24,36,1,226,185,125
9,5,25,202,40,1,0.06;0.12;0.24,19,1,202,225,225
9,6,26,221,10,1,0.06;0.12;0.24,5,1,221,225,215
9,6,27,202,40,1,0.06;0.12;0.24,19,1,202,245,215
9,6,28,204,20,1,0.06;0.12;0.24,11,1,204,245,245
9,6,29,226,80,1,0.06;0.12;0.24,36,1,226,265,285
9,6,30,226,80,1,0.06;0.12;0.24,36,1,226,315,335
9,7,31,226,80,1,0.06;0.12;0.24,36,1,226,135,315
9,7,32,221,10,1,0.06;0.12;0.24,5,1,221,235,235
9,7,33,226,80,1,0.06;0.12;0.24,36,1,226,5,195
9,7,34,204,20,1,0.06;0.12;0.24,11,1,204,195,215
9,7,35,202,40,1,0.06;0.12;0.24,19,1,202,215,205
9,8,36,204,20,1,0.06;0.12;0.24,11,1,204,215,205
9,8,37,221,10,1,0.06;0.12;0.24,5,1,221,215,225
9,8,38,202,40,1,0.06;0.12;0.24,19,1,202,235,285
9,8,39,226,80,1,0.06;0.12;0.24,36,1,226,175,65
9,8,40,226,80,1,0.06;0.12;0.24,36,1,226,205,75
10,1,1,226,80,1,0.06;0.12;0.24,36,1,226,325,205
10,1,2,202,40,1,0.06;0.12;0.24,19,1,202,255,265
10,1,3,221,10,1,0.06;0.12;0.24,5,1,221,215,215
10,1,4,204,20,1,0.06;0.12;0.24,11,1,204,215,225
10,1,5,226,80,1,0.06;0.12;0.24,36,1,226,165,5
10,2,6,202,40,1,0.06;0.12;0.24,19,1,202,275,205
10,2,7,226,80,1,0.06;0.12;0.24,36,1,226,185,295
10,2,8,204,20,1,0.06;0.12;0.24,11,1,204,225,235
10,2,9,226,80,1,0.06;0.12;0.24,36,1,226,65,195
10,2,10,221,10,1,0.06;0.12;0.24,5,1,221,235,245
10,3,11,226,80,1,0.06;0.12;0.24,36,1,226,315,215
10,3,12,1,20,1,0.06,1,1,1,225,225
10,3,13,221,10,1,0.06;0.12;0.24,5,1,221,225,225
10,3,14,226,80,1,0.06;0.12;0.24,36,1,226,135,165
10,3,15,202,40,1,0.06;0.12;0.24,19,1,202,195,205
10,4,16,221,10,1,0.06;0.12;0.24,5,1,221,215,245
10,4,17,204,20,1,0.06;0.12;0.24,11,1,204,225,265
