subject,coherence,prior_std,believed_sd,believed_alpha,n
9,0.24,80,24.21937786316053,0.5056077551102136,672
10,0.06,10,10.221076052504015,0.9226939213962297,642
10,0.06,20,17.251837251550736,0.8481738152577688,506
10,0.06,40,23.841921823776424,0.7176153576911954,594
10,0.06,80,25.709844816139405,0.5075407820563439,1199
10,0.12,10,10.31864080265347,0.9224622655280114,444
10,0.12,20,17.180053198258328,0.8505791928353209,375
10,0.12,40,23.49126360307291,0.7146885976245834,444
10,0.12,80,25.72039653971851,0.5101098286822242,825
10,0.24,10,10.479555080567446,0.9192265275681474,240
10,0.24,20,17.616085007400756,0.8442044135374206,140
10,0.24,40,22.800731335633966,0.7302408804587702,174
10,0.24,80,25.656105234092987,0.5088240718032883,462
11,0.06,10,10.776163185532782,0.8159349216370753,642
11,0.06,20,16.414114484898192,0.7056573469981248,606
11,0.06,40,21.22877232548735,0.6074705807004279,594
11,0.06,80,24.25214360169689,0.5034364172038929,1308
11,0.12,10,10.879087372501901,0.8145421818760441,444
11,0.12,20,16.941481422782733,0.7015978483858901,450
11,0.12,40,21.560050304833272,0.6020058747780063,444
11,0.12,80,24.31861071900489,0.5022378613945875,900
11,0.24,10,11.0367170800445,0.8089409594181414,240
11,0.24,20,16.374165430982696,0.7065377054984866,168
11,0.24,40,21.300769670988984,0.6074417393740063,174
11,0.24,80,24.12008937502194,0.5050471136936218,504
12,0.06,10,10.502163190973283,0.8860067649262678,642
12,0.06,20,17.068185969829475,0.7933688441293154,606
12,0.06,40,22.446166795103704,0.6578127664504313,594
12,0.06,80,25.033594769355947,0.5057033903321854,1308
12,0.12,10,10.355942952371043,0.8888591299700487,444
12,0.12,20,16.974613191383913,0.7954853212389109,450
12,0.12,40,22.100974753710304,0.662919608329746,444
12,0.12,80,25.174243697992548,0.5007892338069637,900
12,0.24,10,10.269544359985264,0.8916775057876777,240
12,0.24,20,16.898616977596866,0.7920509185692869,168
12,0.24,40,21.315029651613777,0.6537565445211054,174
12,0.24,80,24.675424999628408,0.5053079030207961,504
