subject_id,session_id,run_id,trial_index,motion_direction,estimate_deg,prior_mean,prior_std,motion_coherence,prior_kappa_t,predicted_estimate_deg,p_observed,observed_error_from_motion,predicted_error_from_motion,smoke_trial_order,block_id,trials_into_block,prev_prior_std,prior_std_change,simulated_error_from_motion,abs_simulated_error_from_motion,abs_predicted_error_from_motion,log_probability_of_simulated_response
1,1,3,1,225.0,190.43115870764188,225.0,20.0,0.06,30.466097177733882,225.0,0.0028313591454749397,-34.568841292358115,0.0,19,3,1,80.0,-60.0,-34.568841292358115,34.568841292358115,0.0,-5.866998419197849
1,1,3,2,215.0,251.48597117638977,225.0,20.0,0.06,30.49827652182445,222.0,0.004719477071373355,36.48597117638977,7.0,20,3,2,80.0,-60.0,36.48597117638977,36.48597117638977,7.0,-5.356057275485607
1,1,3,3,225.0,224.6032879412004,225.0,20.0,0.06,30.5301764427306,225.0,0.021174354695164696,-0.3967120587996078,0.0,21,3,3,80.0,-60.0,-0.3967120587996078,0.3967120587996078,0.0,-3.854964513753029
1,1,3,4,245.0,235.4242845310646,225.0,20.0,0.24,30.56179936677015,237.0,0.021085544712287647,-9.575715468935414,-8.0,22,3,4,80.0,-60.0,-9.575715468935414,9.575715468935414,8.0,-3.8591675580035956
1,1,3,5,235.0,234.46778947888956,225.0,20.0,0.06,30.59314769919245,228.0,0.0196404555890717,-0.5322105211104429,-7.0,23,3,5,80.0,-60.0,-0.5322105211104429,0.5322105211104429,7.0,-3.930163779325286
1,1,3,6,195.0,179.97157895453665,225.0,20.0,0.24,30.624223824361337,206.0,0.006479811806664878,-15.028421045463347,11.0,24,3,6,80.0,-60.0,-15.028421045463347,15.028421045463347,11.0,-5.039063811221032
1,1,3,7,225.0,199.69203649671348,225.0,20.0,0.24,30.65503010593647,225.0,0.006895689873313567,-25.307963503286516,0.0,25,3,7,80.0,-60.0,-25.307963503286516,25.307963503286516,0.0,-4.9768587185993045
1,1,3,8,245.0,258.9329400434512,225.0,20.0,0.06,30.68556888705312,231.0,0.005461355644453167,13.932940043451197,-14.0,26,3,8,80.0,-60.0,13.932940043451197,13.932940043451197,14.0,-5.210058233513439
1,1,3,9,185.0,182.01428698153106,225.0,20.0,0.24,30.7158424905004,200.0,0.011901888298878801,-2.9857130184689424,15.0,27,3,9,80.0,-60.0,-2.9857130184689424,2.9857130184689424,15.0,-4.431058210875034
1,1,4,1,265.0,244.17314888778907,225.0,40.0,0.12,8.303793299004166,257.0,0.01576449265622622,-20.82685111221093,-8.0,28,4,1,20.0,20.0,-20.82685111221093,20.82685111221093,8.0,-4.149995168156856
1,1,4,2,255.0,262.6971896005735,225.0,40.0,0.12,8.270301561365248,249.0,0.015129876695176176,7.697189600573495,-6.0,29,4,2,20.0,20.0,7.697189600573495,7.697189600573495,6.0,-4.191083900906015
1,1,4,3,155.0,200.77219246663674,225.0,40.0,0.06,8.237100642829304,181.0,0.010578427533977749,45.77219246663674,26.0,30,4,3,20.0,20.0,45.77219246663674,45.77219246663674,26.0,-4.548938489876059
1,1,4,4,205.0,201.76360654632936,225.0,40.0,0.24,8.204188018124238,208.0,0.01974474475140976,-3.236393453670644,3.0,31,4,4,20.0,20.0,-3.236393453670644,3.236393453670644,3.0,-3.9248679115790566
1,1,4,5,295.0,298.44079263927546,225.0,40.0,0.06,8.171561183905663,270.0,0.005209964763488967,3.4407926392754575,-25.0,32,4,5,20.0,20.0,3.4407926392754575,3.4407926392754575,25.0,-5.257182186485612
1,1,4,6,235.0,269.58663334427536,225.0,40.0,0.12,8.139217658566512,233.0,0.0022900852563022783,34.586633344275356,-2.0,33,4,6,20.0,20.0,34.586633344275356,34.586633344275356,2.0,-6.079166232282679
1,1,4,7,205.0,204.72332646871175,225.0,40.0,0.06,8.107154982048273,213.0,0.01872021755510041,-0.2766735312882531,8.0,34,4,7,20.0,20.0,-0.2766735312882531,0.2766735312882531,8.0,-3.978151186467079
1,1,4,8,185.0,202.12937174658313,225.0,40.0,0.12,8.075370715653886,193.0,0.0182277890626855,17.129371746583132,8.0,35,4,8,20.0,20.0,17.129371746583132,17.129371746583132,8.0,-4.004807977806473
1,1,4,9,265.0,355.47944647979307,225.0,40.0,0.06,8.043862441862247,250.0,0.0003615165176242113,90.47944647979307,-15.0,36,4,9,20.0,20.0,90.47944647979307,90.47944647979307,15.0,-7.925202825502766
1,1,5,1,285.0,249.2699166712285,225.0,80.0,0.06,5.460428788253891,269.0,0.01060911107034695,-35.730083328771514,-16.0,37,5,1,40.0,40.0,-35.730083328771514,35.730083328771514,16.0,-4.546042112114341
1,1,5,2,155.0,160.4288729884358,225.0,80.0,0.12,5.4617411818022426,164.0,0.0206979675254982,5.428872988435813,9.0,38,5,2,40.0,40.0,5.428872988435813,5.428872988435813,9.0,-3.8777197707054896
1,1,5,3,245.0,201.37188386768239,225.0,80.0,0.12,5.463042179432036,242.0,0.001495196754596021,-43.628116132317615,-3.0,39,5,3,40.0,40.0,-43.628116132317615,43.628116132317615,3.0,-6.505497472373684
1,1,5,4,325.0,333.9362895847589,225.0,80.0,0.06,5.4643318800975536,302.0,0.003709363034753238,8.936289584758924,-23.0,40,5,4,40.0,40.0,8.936289584758924,8.936289584758924,23.0,-5.596895105848751
1,1,5,5,315.0,329.9149212334685,225.0,80.0,0.06,5.465610381893824,293.0,0.0022118860861325635,14.914921233468476,-22.0,41,5,5,40.0,40.0,14.914921233468476,14.914921233468476,22.0,-6.113909694779876
1,1,5,6,145.0,159.95545759020985,225.0,80.0,0.24,5.466877782064089,151.0,0.018330994332448367,14.955457590209846,6.0,42,5,6,40.0,40.0,14.955457590209846,14.955457590209846,6.0,-3.999161972423487
