subject_id,block_id,prior_std,n_trials,start_prior_kappa_t,end_prior_kappa_t,median_abs_simulated_error_deg,mean_log_probability
2,66,80.0,10,1.1107069308443296,1.1107069308443296,29.301029711714406,-3.64951757907919
2,67,80.0,10,1.1107069308443296,1.1107069308443296,71.8430165552807,-4.235709461530819
2,68,40.0,9,0.4898571979258217,0.48721179943481535,19.169058545244155,-4.578881628510752
2,69,20.0,10,15.032722431891292,15.094743984314418,13.111699068423263,-4.926815704171867
2,70,10.0,10,3.2736662795864513,3.2222630564377117,9.885902868971797,-4.156507975738674
2,71,20.0,10,15.08490345985414,15.136306683002879,25.34472715596023,-4.1473421741009995
2,72,80.0,9,1.402495654719386,1.3431195007872674,78.89117457266929,-4.506396965321195
2,73,40.0,10,0.4898571979258217,0.48721179943481535,14.534459244330407,-4.095708593861808
2,74,10.0,10,2.968877430261804,2.9794957595361895,9.605796173995344,-4.554677846121579
2,75,80.0,10,1.149887833357585,1.1419149025742057,36.14569491343906,-4.827414198141825
2,76,20.0,9,15.045722557340884,15.105098711273003,14.553774059627756,-3.820510659960147
2,77,40.0,10,0.7816459218008782,0.7196243693777532,46.605828807637664,-4.9197133764747765
3,78,40.0,8,1.5548894729485894,1.5548894729485894,8.678788324449997,-4.588780906699629
3,79,80.0,8,1.6230874487164413,1.6609154801561632,19.808508728759477,-4.406496688932855
3,80,10.0,9,2.068104594187502,2.2029782957382844,17.97996380872908,-5.166785292585567
3,81,20.0,8,2.228570343351453,1.979615647126236,19.056227013890435,-4.39723818099526
3,82,80.0,8,1.0059291895518898,1.1594104035981507,22.775638560904383,-5.096006523004034
3,83,10.0,8,2.068104594187502,2.2029782957382844,15.143489979302316,-5.377406473372825
3,84,20.0,8,2.2679705627232796,1.979615647126236,12.320047139195907,-4.294619209682498
3,85,80.0,8,1.0059291895518898,1.1419211833830438,22.722035076228465,-4.643515355534321
3,86,40.0,9,1.7567506021004353,1.7189225706607134,21.128042384940954,-4.422601734137295
3,87,80.0,8,1.6230874487164413,1.6609154801561632,23.410801910432028,-4.273053680875677
3,88,40.0,8,1.7567506021004353,1.7189225706607134,15.197026766385193,-4.709582759379185
3,89,80.0,8,1.6230874487164413,1.6609154801561632,74.2268964821937,-5.666471274869814
3,90,80.0,8,1.8249485778682872,1.8249485778682872,11.899871520115411,-4.689255438592467
3,91,10.0,9,2.068104594187502,2.2029782957382844,28.317281455418538,-5.388643428412788
3,92,20.0,8,2.228570343351453,1.979615647126236,28.262777297446092,-4.670538971655292
3,93,20.0,8,0.7292267623313107,0.7292267623313107,47.37489374734707,-6.015713655837759
3,94,40.0,8,0.9377312137840379,1.0533843963905771,28.860944076485524,-4.905474452906121
3,95,10.0,8,1.8662434650356556,2.03894519802616,7.854616624995629,-3.9201344803287395
3,96,80.0,8,2.5446729899438587,2.4251681782100234,15.76451609661396,-4.441960215291676
3,97,80.0,9,1.8249485778682872,1.8249485778682872,13.535562334550832,-4.306200261602854
3,98,80.0,8,1.8249485778682872,1.8249485778682872,12.419609870224349,-4.109673397099712
3,99,10.0,8,2.068104594187502,2.2029782957382844,8.969260164816035,-4.4793145937195025
3,100,20.0,8,2.2679705627232796,1.979615647126236,14.177690560772092,-4.947988616002155
3,101,40.0,8,0.9377312137840379,1.0533843963905771,14.710703382423802,-4.718993261600195
3,102,80.0,9,1.6230874487164413,1.6609154801561632,40.21043321637771,-4.517787038280368
3,103,10.0,8,2.0865334578591623,2.2029782957382844,14.95895201860931,-4.71312550349415
3,104,20.0,8,2.2679705627232796,1.979615647126236,13.079719982166253,-4.56791442971379
3,105,40.0,8,0.9377312137840379,1.0533843963905771,12.197076339445303,-4.254592257468045
3,106,80.0,8,1.6230874487164413,1.6609154801561632,44.07524123214452,-4.204190456182408
3,107,20.0,8,1.548246150647708,1.412254156816554,19.08755842107061,-4.747641302358737
3,108,40.0,9,0.9377312137840379,1.0533843963905771,10.815657461193183,-4.372494334174142
3,109,80.0,8,1.6230874487164413,1.6609154801561632,20.62211092928149,-5.00341926491411
3,110,10.0,8,2.068104594187502,2.2029782957382844,17.29424317073898,-4.520811958362672
3,111,80.0,8,2.5446729899438587,2.409799288393076,25.662396064692672,-4.393216571825676
3,112,10.0,8,2.068104594187502,2.2029782957382844,12.407967962719738,-5.02362144880614
3,113,80.0,9,2.5446729899438587,2.409799288393076,37.87766509765447,-4.951585531186069
3,114,40.0,8,1.7515818581099145,1.7189225706607134,7.900145148789775,-4.595849065144472
3,115,20.0,8,1.3463850214958621,1.230731838889323,24.90837650964228,-5.505268828821681
3,116,80.0,8,1.0059291895518898,1.1594104035981507,15.130547976191593,-4.446347347255702
3,117,10.0,8,2.068104594187502,2.2029782957382844,8.511857983268271,-4.213500655245407
3,118,80.0,8,2.5446729899438587,2.4251681782100234,27.32067996844077,-5.391468161394645
3,119,80.0,9,1.8249485778682872,1.8249485778682872,31.29130033845857,-4.537233648912981
3,120,80.0,8,1.8249485778682872,1.8249485778682872,25.064963780017095,-5.0669751843092365
3,121,20.0,8,1.548246150647708,1.394764936601447,24.18613251703013,-5.3370262235299455
